City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
581,Launceston,AU,-41.45,147.1667,38.61,84,17,10.36,few clouds
582,Korcula,HR,42.9622,17.1369,67.51,51,0,8.12,clear sky
583,Urumqi,CN,43.801,87.6005,45.55,34,0,4.47,clear sky
584,Contamana,PE,-7.3333,-75.0167,101.41,26,30,3.91,scattered clouds
585,Aquiraz,BR,-3.9014,-38.3911,84.29,63,85,12.39,overcast clouds
586,Shimoda,JP,34.6667,138.95,76.1,89,94,19.35,overcast clouds
587,Kargil,IN,34.5667,76.1,45.72,49,0,6.04,clear sky
588,Chelbasskaya,RU,45.9792,39.3719,59.56,70,56,6.31,broken clouds
589,Vila,PT,42.0304,-8.1588,62.71,59,1,1.77,clear sky
590,Mae Sai,TH,20.4335,99.8762,68.52,98,20,1.43,few clouds
591,Sorland,NO,67.667,12.6934,52.93,76,100,14.36,overcast clouds
592,Bangassou,CF,4.7413,22.8184,69.6,96,100,1.07,overcast clouds
593,Xining,CN,36.6167,101.7667,50.07,71,100,2.95,overcast clouds
594,Uarini,BR,-2.99,-65.1083,92.79,45,94,1.95,overcast clouds
595,Liverpool,GB,53.4106,-2.9779,62.15,92,75,11.5,light rain
596,Caribou,US,46.8606,-68.012,66.02,26,0,9.22,clear sky
597,Villa Union,MX,23.2,-106.2333,85.96,66,0,0.0,clear sky
598,Rosario,AR,-32.9468,-60.6393,80.94,22,0,16.11,clear sky
599,Solginskiy,RU,61.05,41.3428,48.07,92,18,7.92,few clouds
600,Progreso,MX,21.2833,-89.6667,89.11,58,11,11.81,few clouds
601,Kichmengskiy Gorodok,RU,59.9816,45.7854,48.6,91,100,8.48,overcast clouds
602,Valleyview,CA,55.0667,-117.2859,55.44,62,27,1.14,scattered clouds
603,Nicoya,CR,10.1483,-85.452,86.25,67,100,4.45,overcast clouds
604,Isangel,VU,-19.55,169.2667,71.67,72,22,10.0,few clouds
605,Manavalakurichi,IN,8.1333,77.3,78.39,83,100,15.46,overcast clouds
606,Borovskoy,KZ,53.8,64.15,44.6,30,13,7.65,few clouds
607,Gat,IL,31.61,34.7642,78.82,100,0,6.26,clear sky
608,Pasighat,IN,28.0667,95.3333,75.33,93,100,2.17,overcast clouds
609,Glazov,RU,58.1394,52.6584,49.14,52,100,8.1,overcast clouds
610,Road Town,VG,18.4167,-64.6167,89.69,79,40,9.22,scattered clouds
611,Southbridge,US,42.0751,-72.0334,57.07,85,100,5.99,overcast clouds
612,Jajce,BA,44.3422,17.2656,47.98,85,2,2.15,clear sky
613,Nichinan,JP,31.6,131.3667,74.08,92,31,6.15,scattered clouds
614,North Bend,US,43.4065,-124.2243,58.15,88,100,0.0,overcast clouds
