City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
390,Ahuimanu,US,80.78,light rain,21.4447,-157.8378,Paradise Bay Resort
393,Marrakesh,MA,87.87,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
394,Tura,IN,72.75,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
395,Paka,MY,76.93,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
400,Vila Franca Do Campo,PT,78.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
401,Makakilo City,US,79.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
402,Ponta Delgada,PT,78.49,broken clouds,37.7333,-25.6667,Vila Nova Hotel
405,Gualaquiza,EC,82.11,overcast clouds,-3.4,-78.55,Hotel Merceditas
408,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
410,Rumonge,BI,78.1,scattered clouds,-3.9736,29.4386,Kwetu Guest House
413,Frontera,MX,82.15,broken clouds,26.9333,-101.45,Fiesta Inn Monclova
416,Ewo,CG,77.63,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
419,Moron,AR,71.94,broken clouds,-34.6534,-58.6198,Hotel Morón
420,Hirara,JP,81.52,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
422,Kavaratti,IN,81.61,overcast clouds,10.5669,72.642,Green leaf
425,Wichita Falls,US,87.26,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
430,Akyab,MM,77.25,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
431,Quatre Cocos,MU,72.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
432,Narasannapeta,IN,78.82,overcast clouds,18.4167,84.05,AVK events and catering
433,Harper,LR,77.99,broken clouds,4.375,-7.7169,Screensaver
435,Miri,MY,77.14,heavy intensity rain,4.4148,114.0089,"Mega Hotel, Miri"
437,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
440,Pierre,US,74.05,overcast clouds,44.3683,-100.351,Ramkota Hotel
442,Atambua,ID,75.25,overcast clouds,-9.1061,124.8925,Ros Muskanan
443,Norsup,VU,77.74,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
446,North Myrtle Beach,US,72.01,clear sky,33.816,-78.68,Avista Resort
448,Nouadhibou,MR,73.13,overcast clouds,20.931,-17.0347,El Medina
454,Camocim,BR,88.93,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
455,Pacific Grove,US,71.82,clear sky,36.6177,-121.9166,Lovers Point Inn
456,Kharagpur,IN,77.47,overcast clouds,22.3333,87.3333,Guin Bros Lodge
457,Nizwa,OM,80.24,clear sky,22.9333,57.5333,Orient Apartments
460,Kefamenanu,ID,73.0,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
462,Belmonte,BR,78.64,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
464,Phulji,PK,86.76,clear sky,26.8825,67.6807,Irfan hotel Phulji
467,Kailua,US,81.07,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
468,La Libertad,EC,73.06,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
469,Bull Savanna,JM,82.13,overcast clouds,17.8868,-77.5902,Big Red's
470,Acari,PE,72.91,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
472,Paita,PE,70.14,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
475,Pringsewu,ID,73.38,light rain,-5.3582,104.9744,Urban Style by Front One
476,Maningrida,AU,78.96,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
479,Mporokoso,ZM,71.76,scattered clouds,-9.3727,30.125,Kutemwa lodge
480,Conde,BR,83.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
482,Mana,GF,82.72,overcast clouds,5.6592,-53.7767,LE SAMANA
483,Arawa,PG,77.09,light rain,-6.2132,155.5367,Coastline Guest House
485,Palu,ID,74.75,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
488,Nishihara,JP,79.88,clear sky,26.1842,127.7558,Minshuku Agaihama
489,Sechura,PE,76.64,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
492,Alyangula,AU,79.12,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
495,Mouila,GA,74.48,broken clouds,-1.8685,11.0559,Hôtel du Lac Bleu
496,Unai,BR,81.86,light rain,-16.3575,-46.9061,Hotel Regente
499,Ler,SS,72.5,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
500,Mandera,KE,88.14,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
502,San Vicente,AR,77.72,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
504,Boma,GH,73.76,light rain,7.0805,-2.1697,Obaatanpa Hotel
507,Magalia,US,78.12,scattered clouds,39.8121,-121.5783,Paradise Pines RV Park - FHU - Safe & Clean
508,Aloleng,PH,81.28,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
516,Russell,US,77.38,clear sky,32.3502,-85.1999,Macs
517,Beihai,CN,80.55,clear sky,21.4833,109.1,21 Degree Hostel
520,Phuket,TH,85.12,few clouds,8.0,98.25,The Surin
523,San Juan De Uraba,CO,86.25,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
525,Zhuhai,CN,83.86,clear sky,22.2769,113.5678,珠海粤财假日酒店
526,Nara,JP,71.96,light rain,34.6851,135.8049,Guesthouse Nara Komachi
527,Bosaso,SO,85.82,broken clouds,11.2842,49.1816,Red Sea Hotel
528,Doha,QA,89.49,clear sky,25.2867,51.5333,Mövenpick Doha
529,Bhuban,IN,75.54,overcast clouds,20.8833,85.8333,Prasanta Sahoo
532,French Harbor,HN,87.08,scattered clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
533,Toumodi,CI,75.29,light rain,6.5613,-5.0158,Hotel Akanza
536,Rosa Zarate,EC,87.69,overcast clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
540,Lata,PT,74.91,clear sky,40.1629,-8.3327,Casa Maquia
549,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
551,Buchanan,LR,77.67,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
553,Bossangoa,CF,71.46,overcast clouds,6.4926,17.4552,Hotel du tourisme
558,Bahia Blanca,AR,74.03,moderate rain,-38.7196,-62.2724,Hotel Argos
561,Del Rio,US,82.8,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
565,Corinto,GR,70.9,clear sky,37.9407,22.9573,Ephira Hotel
570,Biak,ID,75.7,overcast clouds,-0.9131,122.8766,Penginapan Kim
571,Hamilton,US,72.19,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
574,Kafanchan,NG,70.25,light rain,9.5833,8.3,Sir Joe guest Inn
575,Sawakin,SD,85.6,scattered clouds,19.1059,37.3321,فندق الدويم
580,Touros,BR,80.4,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
585,Aquiraz,BR,84.29,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
586,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
597,Villa Union,MX,85.96,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
598,Rosario,AR,80.94,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
600,Progreso,MX,89.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
603,Nicoya,CR,86.25,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
