City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2022-09-26 22:14:31,-22.9661,-42.0278,69.76,88,100,10.36
1,Celestun,MX,2022-09-26 22:18:30,20.8667,-90.4,83.91,67,14,13.24
2,Dhankuta,NP,2022-09-26 22:18:30,26.9833,87.3333,63.32,92,40,3.87
3,Clyde River,CA,2022-09-26 22:18:31,70.4692,-68.5914,34.03,100,75,4.61
4,Riosucio,CO,2022-09-26 22:18:32,5.4216,-75.7032,66.42,89,85,2.1
5,Jamestown,US,2022-09-26 22:15:21,42.097,-79.2353,53.02,76,100,12.66
6,Port Alfred,ZA,2022-09-26 22:18:32,-33.5906,26.891,62.19,91,100,8.99
7,Qaanaaq,GL,2022-09-26 22:15:21,77.484,-69.3632,25.18,77,83,6.64
8,Sept-Iles,CA,2022-09-26 22:16:02,50.2001,-66.3821,54.05,88,100,4.61
9,Gao,ML,2022-09-26 22:18:33,16.6362,1.637,96.75,15,38,7.11
10,Brasilia,BR,2022-09-26 22:14:14,-15.7797,-47.9297,77.92,47,0,8.05
11,Vaini,TO,2022-09-26 22:18:34,-21.2,-175.2,78.96,83,75,5.75
12,Umm Lajj,SA,2022-09-26 22:18:34,25.0213,37.2685,88.99,39,5,6.98
13,Broome,US,2022-09-26 22:18:34,42.2506,-75.833,62.33,72,75,11.5
14,Mataura,NZ,2022-09-26 22:18:35,-46.1927,168.8643,49.48,93,100,1.57
15,Puerto Ayora,EC,2022-09-26 22:18:35,-0.7393,-90.3518,73.36,90,96,8.01
16,Punta Arenas,CL,2022-09-26 22:17:31,-53.15,-70.9167,44.71,57,0,17.27
17,Tura,IN,2022-09-26 22:18:36,25.5198,90.2201,72.61,89,98,2.08
18,Busselton,AU,2022-09-26 22:18:36,-33.65,115.3333,48.87,89,2,5.82
19,Geraldton,AU,2022-09-26 22:18:37,-28.7667,114.6,46.81,93,0,4.61
20,Mujiayingzi,CN,2022-09-26 22:18:37,42.1167,118.7833,55.35,50,0,5.08
21,Tasiilaq,GL,2022-09-26 22:18:37,65.6145,-37.6368,41.16,88,100,4.52
22,Hermanus,ZA,2022-09-26 22:18:38,-34.4187,19.2345,56.8,83,72,1.68
23,San Patricio,US,2022-09-26 22:18:38,28.017,-97.5169,95.18,35,10,12.97
24,Fortuna,US,2022-09-26 22:18:39,40.5982,-124.1573,62.98,81,17,5.82
25,Ushuaia,AR,2022-09-26 22:18:39,-54.8,-68.3,40.66,75,40,25.32
26,Mount Gambier,AU,2022-09-26 22:18:40,-37.8333,140.7667,50.72,77,26,8.21
27,Isangel,VU,2022-09-26 22:14:09,-19.55,169.2667,80.71,83,20,2.3
28,Hilo,US,2022-09-26 22:15:29,19.7297,-155.09,85.28,66,0,10.36
29,Tamiahua,MX,2022-09-26 22:18:41,21.2667,-97.45,82.53,70,36,12.44
30,Hobart,AU,2022-09-26 22:14:13,-42.8794,147.3294,54.27,92,75,5.75
31,Bluff,NZ,2022-09-26 22:17:34,-46.6,168.3333,49.8,94,100,3.98
32,Tuktoyaktuk,CA,2022-09-26 22:18:42,69.4541,-133.0374,35.6,69,75,14.97
33,Kautokeino,NO,2022-09-26 22:18:42,69.0125,23.0412,40.93,96,100,11.32
34,Brae,GB,2022-09-26 22:18:42,60.3964,-1.353,46.0,90,100,21.23
35,Carnarvon,AU,2022-09-26 22:18:43,-24.8667,113.6333,63.91,33,1,14.45
36,Severo-Kurilsk,RU,2022-09-26 22:18:43,50.6789,156.125,50.13,79,17,9.08
37,Tacoronte,ES,2022-09-26 22:18:03,28.4769,-16.4102,66.34,97,100,11.5
38,Cape Town,ZA,2022-09-26 22:15:41,-33.9258,18.4232,56.91,78,0,2.3
39,North Platte,US,2022-09-26 22:18:44,41.1239,-100.7654,83.12,27,0,5.99
40,Rikitea,PF,2022-09-26 22:18:45,-23.1203,-134.9692,68.07,58,21,7.65
41,Banmankhi,IN,2022-09-26 22:18:45,25.8833,87.1833,78.55,86,100,3.67
42,Albany,US,2022-09-26 22:18:16,42.6001,-73.9662,62.53,82,48,7.78
43,Ust-Nera,RU,2022-09-26 22:18:46,64.5667,143.2,23.76,95,100,3.56
44,Rio Gallegos,AR,2022-09-26 22:19:46,-51.6226,-69.2181,48.25,31,20,29.93
45,Srednekolymsk,RU,2022-09-26 22:19:47,67.45,153.6833,32.41,65,79,9.13
46,Butaritari,KI,2022-09-26 22:19:47,3.0707,172.7902,82.26,71,24,18.45
47,Ludhiana,IN,2022-09-26 22:19:47,30.9,75.85,72.37,88,0,2.64
48,Bambous Virieux,MU,2022-09-26 22:19:49,-20.3428,57.7575,71.85,64,40,11.5
49,Los Llanos De Aridane,ES,2022-09-26 22:19:49,28.6585,-17.9182,68.13,83,75,18.01
50,Hualmay,PE,2022-09-26 22:19:50,-11.0964,-77.6139,63.91,75,21,10.94
51,Georgetown,MY,2022-09-26 22:19:32,5.4112,100.3354,81.9,87,20,0.0
52,Upernavik,GL,2022-09-26 22:19:50,72.7868,-56.1549,33.35,71,29,4.65
53,Iquique,CL,2022-09-26 22:18:18,-20.2208,-70.1431,60.84,75,38,3.56
54,Ribeira Grande,PT,2022-09-26 22:19:51,38.5167,-28.7,66.6,82,75,9.22
55,Cherskiy,RU,2022-09-26 22:19:51,68.75,161.3,30.45,59,17,3.89
56,Tiksi,RU,2022-09-26 22:19:52,71.6872,128.8694,32.77,91,100,22.24
57,Fairbanks,US,2022-09-26 22:15:02,64.8378,-147.7164,50.22,67,100,5.75
